conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1838729949890462012,Tue Sep 24 23:59:16 +0000 2024,0,Claimed! Can you take the gift and accept my invitation? I got 4 free gifts. Wonder how? 1. Accept invitation; 2. Pick gifts you like; 3. Cut to $0 to claim free gifts. Follow my lead and get yours now! https://t.co/vfG38QkuvD,1838729949890462012,,,en,Nord America.    ,0,0,0,https://x.com/ClintKauffman/status/1838729949890462012,388654360,ClintKauffman
1838729875613741486,Tue Sep 24 23:58:58 +0000 2024,0,Can you help me out? I am trying to get a free gift. Hello friends I need your help to click this link below to get more puppy snacks for my new pet!! https://t.co/Vg8jQ6PRhz,1838729875613741486,,,en,California,0,0,0,https://x.com/romeecat/status/1838729875613741486,1382290665644642304,romeecat
1838729833351630856,Tue Sep 24 23:58:48 +0000 2024,0,Claimed! Can you take the gift and accept my invitation? I got 1 free gift. Wonder how? 1. Accept invitation; 2. Pick gifts you like; 3. Cut to $0 to claim free gifts. Follow my lead and get yours now! https://t.co/8IGj5tdgQA,1838729833351630856,,,en,✈,0,0,0,https://x.com/x_BxtchImTee/status/1838729833351630856,334502379,x_BxtchImTee
1838729782231732664,Tue Sep 24 23:58:36 +0000 2024,0,Can you help me out? I am trying to get a free gift. Hello friends I need your help to click this link below to get more puppy snacks for my new pet!! https://t.co/Vg8jQ6PRhz,1838729782231732664,,,en,California,0,0,0,https://x.com/romeecat/status/1838729782231732664,1382290665644642304,romeecat
1838729777844490323,Tue Sep 24 23:58:35 +0000 2024,0,Can you help me out? I am trying to get a free gift. Hello friends I need your help to click this link below to get more puppy snacks for my new pet!! https://t.co/Rd362Mqiz3,1838729777844490323,,,en,"Antipolo City, Calabarzon",0,0,0,https://x.com/BalonJr/status/1838729777844490323,908720602357174278,BalonJr
1838729298825613339,Tue Sep 24 23:56:41 +0000 2024,0,Can you help me out? I am trying to get a free gift. Hello friends I need your help to click this link below to get more puppy snacks for my new pet!! https://t.co/SJ6rrhlPCO,1838729298825613339,,,en,,0,0,0,https://x.com/Cliintown/status/1838729298825613339,1481772706064662531,Cliintown
1838729278151946347,Tue Sep 24 23:56:36 +0000 2024,0,Can you help me out? I am trying to get a free gift. Hello friends I need your help to click this link below to get more puppy snacks for my new pet!! https://t.co/SJ6rrhlPCO,1838729278151946347,,,en,,0,0,0,https://x.com/Cliintown/status/1838729278151946347,1481772706064662531,Cliintown
1838728596543701103,Tue Sep 24 23:53:53 +0000 2024,1,Can't do it without You! Just a click to accept my invitation! Your Friend Are Grabbing a Free Gift - You Both Deserve Too! Don't Miss Out Click to Get Your Freebie https://t.co/cfJTmEkmNL,1838728596543701103,,,en,"Kentucky, USA",0,0,0,https://x.com/nnovello17/status/1838728596543701103,2616644242,nnovello17
1838728319107502233,Tue Sep 24 23:52:47 +0000 2024,0,Can you accept my invitation so that I can get a free gift worth up to $80? I've got 2 free gift(s) valued at $0.02 in total. Search my code in Temu or tap my link to download &amp; accept my invite 367535215 https://t.co/3JS26ngcuZ,1838728319107502233,,,en,,0,0,0,https://x.com/ArbiusGaming/status/1838728319107502233,612242549,ArbiusGaming
1838726838400750041,Tue Sep 24 23:46:54 +0000 2024,0,Cek [FREE GIFT EARPHONE] NEW ZTE Blade A55 RAM 4GB+ ROM 128GB 6.75'' HD 5000mAh Garansi Resmi Android dengan harga Rp1.149.000. Dapatkan di Shopee sekarang! https://t.co/3hp50Ox8q0 https://t.co/vbSacer4zx,1838726838400750041,https://pbs.twimg.com/media/GYR4UH9aEAA_Eoh.jpg,,in,Indonesia,0,0,0,https://x.com/wagus_095/status/1838726838400750041,84526782,wagus_095
