conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,account_type
1.8191611733437893e+18,Thu Aug 01 23:59:56 +0000 2024,0.0,Can you accept my invitation so that I can get a free gift worth up to $80? I've got 13 free gift(s) valued at $1.14 in total. Search my code in Temu or tap my link to download &amp; accept my invite 255907505 https://t.co/rjPgOlygRy,1.8191611733437893e+18,no image,no reply,en,unkown,0.0,0.0,0.0,https://x.com/Hadassah8713/status/1819161173343789240,3853877601,Hadassah8713,bot
1.8191611224501535e+18,Thu Aug 01 23:59:44 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 249860534 https://t.co/sHWIMZzJ9g,1.8191611224501535e+18,no image,no reply,en,USA,0.0,0.0,0.0,https://x.com/smithtiels/status/1819161122450153790,1237350895,smithtiels,bot
1.8191610792571128e+18,Thu Aug 01 23:59:34 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 301137491 https://t.co/AZLt7mNdBt,1.8191610792571128e+18,no image,no reply,en,unkown,0.0,0.0,0.0,https://x.com/ClinkReezy/status/1819161079257112576,1526369889904099330,ClinkReezy,bot
1.819161018268111e+18,Thu Aug 01 23:59:19 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 249860534 https://t.co/UYLxqfFzqY,1.819161018268111e+18,no image,no reply,en,USA,0.0,0.0,0.0,https://x.com/smithtiels/status/1819161018268111067,1237350895,smithtiels,bot
1.8191604974235607e+18,Thu Aug 01 23:57:15 +0000 2024,4.0,Free $XRP happy investor. $Ripple #SEC #Altcoin #XRPCommunity #XRP #Ripple #XRPUSDT #Airdrop #XLM #XRPArmy RT &amp; Like - A random amount of XRP as a gift from me Official link ⬇️⬇️⬇️ https://t.co/b02u7kSrYm,1.8191604974235607e+18,no image,no reply,en,JAKE,0.0,0.0,1.0,https://x.com/MexGuy10/status/1819160497423561160,2595845760,MexGuy10,bot
1.8191601440031916e+18,Thu Aug 01 23:55:51 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 311222635 https://t.co/MB8vVZDIFb,1.8191601440031916e+18,no image,no reply,en,St Vincent & the Grenadines,0.0,0.0,0.0,https://x.com/koolkidmarv/status/1819160144003191278,786054871,koolkidmarv,bot
1.8191597628834447e+18,Thu Aug 01 23:54:20 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 266375026 https://t.co/2Bn2U7M2XF,1.8191597628834447e+18,no image,no reply,en,United States,0.0,0.0,0.0,https://x.com/smitty4229/status/1819159762883445146,31059033,smitty4229,bot
1.8191596717871316e+18,Thu Aug 01 23:53:58 +0000 2024,0.0,My #RTRNaps are: Big Evs @ 15:35 Cicero's Gift @ 16:10 The Dragon King @ 16:45 Sponsored by @RatingTheRaces - Enter for FREE here: https://t.co/GwSL8pj6su https://t.co/LpCkMIRAC4,1.8191596717871316e+18,https://pbs.twimg.com/media/GT70FK6XAAAPnlu.jpg,no reply,en,UK,0.0,0.0,0.0,https://x.com/NorwichTony/status/1819159671787131376,401486981,NorwichTony,bot
1.819159365339042e+18,Thu Aug 01 23:52:45 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 313289142 https://t.co/Trka9zg36L,1.819159365339042e+18,no image,no reply,en,unkown,0.0,0.0,0.0,https://x.com/bitburgbaron83/status/1819159365339042172,1779368610986594304,bitburgbaron83,bot
1.8191588993644508e+18,Thu Aug 01 23:50:54 +0000 2024,0.0,#Enter the Stonemill Kitchens Visa Gift Card Giveaway to #win a $200 Visa Gift Card + Dip Assortment! https://t.co/xaG2CI5Hif #sweepstakes #giveaway #free #winner #contest #EnterToWin Expires: 08-31-2024 ARV: $300.00,1.8191588993644508e+18,no image,no reply,en,"Bluff Dale, Texas",0.0,0.0,0.0,https://x.com/zwriter/status/1819158899364450785,17477817,zwriter,bot
1.8191588693584e+18,Thu Aug 01 23:50:47 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 313289142 https://t.co/ErLNfJOi3i,1.8191588693584e+18,no image,no reply,en,unkown,0.0,0.0,0.0,https://x.com/bitburgbaron83/status/1819158869358399628,1779368610986594304,bitburgbaron83,bot
1.819158741117178e+18,Thu Aug 01 23:50:16 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 294618939 https://t.co/j7ejopcURK,1.819158741117178e+18,no image,no reply,en,unkown,0.0,0.0,0.0,https://x.com/jrtrembly/status/1819158741117178026,1002235354840170496,jrtrembly,bot
1.8191582398185357e+18,Thu Aug 01 23:48:17 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 289964706 https://t.co/t2J61o2UD6,1.8191582398185357e+18,no image,no reply,en,"Wallington, NJ",0.0,0.0,0.0,https://x.com/Elena41808166/status/1819158239818535348,1012749256665587714,Elena41808166,bot
1.8191580145841444e+18,Thu Aug 01 23:47:23 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 276661396 https://t.co/nmnY3J59PF,1.8191580145841444e+18,no image,no reply,en,North East,0.0,0.0,0.0,https://x.com/JohnDraper2011/status/1819158014584144371,41004467,JohnDraper2011,bot
1.8191578668315817e+18,Thu Aug 01 23:46:48 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! I've got 25 free gift(s) valued at $9.98 in total. Search my code in Temu or tap my link to download &amp; accept my invite 278578491 https://t.co/q6Cf0uNpT2,1.8191578668315817e+18,no image,no reply,en,Orlando fl,0.0,0.0,0.0,https://x.com/soulmuzicman/status/1819157866831581593,103037743,soulmuzicman,bot
1.8162619103140457e+18,Wed Jul 24 23:59:18 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! I've got 3 free gift(s) valued at $38.37 in total. Search my code in Temu or tap my link to download &amp; accept my invite 241992410 https://t.co/UeBaJrfBWp,1.8162619103140457e+18,no image,no reply,en,"Huntington, ARKANSAS USA",0.0,1.0,0.0,https://x.com/HallettFay/status/1816261910314045609,1508591277989928963,HallettFay,bot
1.81626185312888e+18,Wed Jul 24 23:59:04 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! Search my code in Temu or tap my link to download &amp; accept my invite 290054713 https://t.co/8dbTL3xdYn,1.81626185312888e+18,no image,no reply,en,unkown,0.0,0.0,0.0,https://x.com/BrandonLan76/status/1816261853128880229,1663958282627579926,BrandonLan76,bot
1.816261667728016e+18,Wed Jul 24 23:58:20 +0000 2024,0.0,Can you pick the gift &amp; accept my invitation? We can both get free gifts this way! I've got 8 free gift(s) valued at $14.10 in total. Search my code in Temu or tap my link to download &amp; accept my invite 295575188 https://t.co/iW8IJ4cJEm,1.816261667728016e+18,no image,no reply,en,"Massachusetts, USA",0.0,0.0,0.0,https://x.com/JenkinsTerria/status/1816261667728015528,1587539326291906562,JenkinsTerria,bot
